compound_id,pdb_id,kinase,resolution_angstrom,year,log_kd,source,data_type,measurement_method,assay_type,measurement_value,measurement_unit,organism,bioassay_id,measurement_type,drug_name,ic50_nm,compound_name,ki_nm,log_ki,publication_year,authors
PDB_05049,PDB05049,YES1,3.3,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05050,PDB05050,YES1,2.7,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05051,PDB05051,YES1,2.3,2023.0,3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05052,PDB05052,YES1,2.3,2023.0,3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05053,PDB05053,YES1,3.4,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05054,PDB05054,FYN,1.8,2023.0,-2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05055,PDB05055,FYN,2.6,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05056,PDB05056,FYN,2.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05057,PDB05057,FYN,1.6,2016.0,-10.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05058,PDB05058,FYN,2.5,2015.0,-11.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05059,PDB05059,FYN,3.4,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05060,PDB05060,FYN,3.2,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05061,PDB05061,FRK,2.0,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05062,PDB05062,FRK,2.8,2018.0,0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05063,PDB05063,FRK,2.6,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05064,PDB05064,FRK,3.1,2021.0,-8.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05065,PDB05065,FRK,2.6,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05066,PDB05066,EGFR,2.2,2022.0,-2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05067,PDB05067,EGFR,1.6,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05068,PDB05068,EGFR,1.8,2018.0,-9.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05069,PDB05069,EGFR,2.1,2016.0,-10.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05070,PDB05070,EGFR,2.2,2017.0,0.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05071,PDB05071,EGFR,2.6,2016.0,-0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05072,PDB05072,ERBB2,2.0,2015.0,-11.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05073,PDB05073,ERBB2,3.9,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05074,PDB05074,ERBB2,2.7,2022.0,-7.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05075,PDB05075,ERBB2,1.5,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05076,PDB05076,ERBB2,3.0,2020.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05077,PDB05077,ERBB2,1.8,2018.0,0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05078,PDB05078,ERBB3,3.9,2019.0,-4.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05079,PDB05079,ERBB3,3.6,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05080,PDB05080,ERBB3,2.4,2024.0,3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05081,PDB05081,ERBB3,3.5,2015.0,-1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05082,PDB05082,ERBB3,1.9,2024.0,-1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05083,PDB05083,ERBB3,3.4,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05084,PDB05084,ERBB3,3.1,2016.0,-0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05085,PDB05085,ERBB3,2.0,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05086,PDB05086,ERBB3,2.7,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05087,PDB05087,ERBB4,3.5,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05088,PDB05088,ERBB4,2.4,2024.0,3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05089,PDB05089,ERBB4,3.5,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05090,PDB05090,ERBB4,1.7,2017.0,-10.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05091,PDB05091,ERBB4,1.5,2015.0,-1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05092,PDB05092,ERBB4,3.0,2020.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05093,PDB05093,KDR,3.1,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05094,PDB05094,KDR,2.0,2020.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05095,PDB05095,KDR,1.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05096,PDB05096,KDR,3.8,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05097,PDB05097,KDR,2.6,2021.0,-8.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05098,PDB05098,KDR,3.3,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05099,PDB05099,FLT1,1.9,2019.0,1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05100,PDB05100,FLT1,2.7,2017.0,-10.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05101,PDB05101,FLT1,2.3,2018.0,0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05102,PDB05102,FLT1,2.4,2024.0,3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05103,PDB05103,FLT1,1.8,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05104,PDB05104,FLT1,3.5,2015.0,-6.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05105,PDB05105,FLT4,2.3,2018.0,-9.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05106,PDB05106,FLT4,1.8,2023.0,3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05107,PDB05107,FLT4,1.5,2015.0,-6.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05108,PDB05108,FLT4,2.6,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05109,PDB05109,FLT4,3.3,2018.0,-4.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05110,PDB05110,FLT4,3.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05111,PDB05111,FLT4,2.1,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05112,PDB05112,FGFR1,3.3,2018.0,-9.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05113,PDB05113,FGFR1,3.7,2022.0,-7.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05114,PDB05114,FGFR1,3.0,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05115,PDB05115,FGFR1,1.8,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05116,PDB05116,FGFR1,1.8,2023.0,3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05117,PDB05117,FGFR1,3.8,2018.0,0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05118,PDB05118,FGFR1,2.2,2017.0,-10.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05119,PDB05119,FGFR1,2.4,2019.0,-9.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05120,PDB05120,FGFR2,2.8,2018.0,-4.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05121,PDB05121,FGFR2,2.0,2015.0,-11.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05122,PDB05122,FGFR2,2.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05123,PDB05123,FGFR2,3.4,2024.0,-1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05124,PDB05124,FGFR2,3.8,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05125,PDB05125,FGFR2,1.6,2016.0,-10.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05126,PDB05126,FGFR3,1.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05127,PDB05127,FGFR3,1.9,2019.0,-4.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05128,PDB05128,FGFR3,2.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05129,PDB05129,FGFR3,3.6,2021.0,-8.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05130,PDB05130,FGFR3,2.8,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05131,PDB05131,FGFR3,1.5,2015.0,-1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05132,PDB05132,FGFR3,2.4,2024.0,3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05133,PDB05133,FGFR4,1.5,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05134,PDB05134,FGFR4,2.9,2019.0,-4.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05135,PDB05135,FGFR4,1.7,2017.0,0.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05136,PDB05136,FGFR4,2.9,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05137,PDB05137,FGFR4,2.1,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05138,PDB05138,FGFR4,2.6,2021.0,-8.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05139,PDB05139,FGFR4,1.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05140,PDB05140,FGFR4,3.5,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05141,PDB05141,FGFR4,3.1,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05142,PDB05142,BRAF,3.5,2015.0,-11.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05143,PDB05143,BRAF,2.5,2020.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05144,PDB05144,BRAF,2.9,2019.0,-9.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05145,PDB05145,BRAF,3.4,2019.0,1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05146,PDB05146,BRAF,1.5,2015.0,-6.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05147,PDB05147,BRAF,3.1,2016.0,-10.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05148,PDB05148,BRAF,3.7,2017.0,-5.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05149,PDB05149,BRAF,3.6,2016.0,-0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05150,PDB05150,BRAF,2.2,2017.0,0.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05151,PDB05151,RAF1,2.3,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05152,PDB05152,RAF1,2.7,2017.0,0.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05153,PDB05153,RAF1,3.5,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05154,PDB05154,RAF1,3.5,2015.0,-6.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05155,PDB05155,RAF1,1.7,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05156,PDB05156,RAF1,3.7,2017.0,-5.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05157,PDB05157,RAF1,3.9,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05158,PDB05158,RAF1,3.2,2017.0,-10.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05159,PDB05159,MAP2K1,1.9,2019.0,-9.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05160,PDB05160,MAP2K1,3.5,2020.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05161,PDB05161,MAP2K1,3.2,2022.0,-2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05162,PDB05162,MAP2K1,3.3,2023.0,-2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05163,PDB05163,MAP2K1,2.8,2023.0,3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05164,PDB05164,MAP2K1,3.5,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05165,PDB05165,RET,2.9,2019.0,-9.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05166,PDB05166,RET,3.9,2024.0,-1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05167,PDB05167,RET,3.7,2017.0,-5.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
